"1- Onde o sr.(a) reside (mora)?","PERCENTUAL"
"Carro alugado","1.37"
"Carro próprio","40.98"
"Carro próprio Moto","0.27"
"Carro alugado Carro próprio","0.27"
"Outros","0.55"
"Ônibus fretado Transporte coletivo/van","0.82"
"Moto Ônibus de linha","0.27"
"Avião Transporte coletivo/van Outros","0.27"
"Ônibus de linha Transporte coletivo/van","2.19"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Ônibus de linha","PERCENTUAL"
"0","91.80"
"1","8.20"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Ônibus fretado","PERCENTUAL"
"1","3.01"
"0","96.99"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Carro alugado","PERCENTUAL"
"1","10.11"
"0","89.89"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Avião Fretado (charter)","PERCENTUAL"
"1","0.27"
"0","99.73"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Outros","PERCENTUAL"
"1","7.38"
"0","92.62"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Carro próprio","PERCENTUAL"
"1","46.72"
"0","53.28"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Moto","PERCENTUAL"
"0","98.63"
"1","1.37"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Transfer/receptivo","PERCENTUAL"
"1","14.75"
"0","85.25"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Transporte coletivo/van","PERCENTUAL"
"1","9.02"
"0","90.98"
"Não Respondidos", "0.27","1"

"12- Qual meio de transporte você utilizou para chegar até este destino?/Avião","PERCENTUAL"
"1","45.08"
"0","54.92"
"Não Respondidos", "0.27","1"

"12.1- Qual?","PERCENTUAL"
"Uber","7.41"
"Carro de amigo","3.70"
"Ubes","3.70"
"Carona","11.11"
"Taxi","70.37"
"Amigo foi buscar","3.70"
"",""

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?","PERCENTUAL"
"Quadriciclo","0.83"
"Buggy","0.28"
"Carro alugado","13.30"
"Moto táxi Outros","0.83"
"Carro/moto própria","38.50"
"Outros","41.83"
"Buggy Quadriciclo","0.28"
"Carro/moto própria Outros","2.22"
"Carro alugado Outros","0.83"
"Carro alugado Carro/moto própria","0.83"
"Carro alugado Moto táxi Outros","0.28"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Outros","PERCENTUAL"
"0","54.02"
"1","45.98"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Carro alugado","PERCENTUAL"
"1","15.24"
"0","84.76"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Buggy","PERCENTUAL"
"1","0.55"
